,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
UTS2B,5,106
C9orf152,8,207
NOC2L,8665,1972
MSANTD1,15,3
AADACL3,0,6
NELFB,4410,2748
LIPI,8,11
LRRC66,45,22
ZNF292,2542,2726
HUS1B,12,4
KCTD21,543,893
SBSN,33,0
KIR2DL4,1,3
MAGEB16,0,0
VHLL,0,0
DUSP21,0,0
ZNF567,791,379
NDUFA4,10919,8892
ANKDD1B,6,29
ALKBH2,829,442
RNFT1,298,545
RNF222,18,2
CGB5,0,0
RELN,36,671
FAM111B,515,92
APOD,14443,99656
GAGE2A,0,0
LITAF,7494,9998
VSTM1,0,0
TMEM120A,3172,4312
ARID2,2409,2370
FAM25G,0,0
SF3B3,13915,8008
PRSS48,1,0
IL1RAPL2,11,31
BLOC1S3,1948,728
SP6,342,91
ANKRD34B,41,3
PLAC9,81,1527
FAM47B,0,0
NKAPL,21,181
FSCB,0,0
CLDN4,71595,1011
ZNF573,119,167
ZNF527,361,351
ZAR1L,1,0
S100A13,1968,1045
ZNF33A,5311,2617
OR14I1,0,0
KRT77,39,21
DCAF8L2,0,0
BTBD8,259,851
MAOA,76,34427
C15orf61,158,178
NUGGC,2,53
TSPYL1,2756,6540
SPANXN3,1,0
TRIM64B,0,0
PNRC2,3056,4637
DRICH1,5,3
GJB5,1026,44
FHIT,243,382
ZKSCAN3,245,513
FOXR2,0,0
RRP7A,2430,635
LIN54,800,826
FAM53B,3784,1993
FAM180A,367,531
SPANXN4,0,0
S100A14,29590,443
KAZN,1154,1492
SLC35E2B,2207,3663
KIAA0408,1,72
GSPT2,1006,872
TBC1D28,2,0
C8orf76,281,80
CXCL17,180,45
OTUD6A,0,0
MMP23B,3,16
ZFP92,216,131
NCR1,7,8
RASSF10,40,132
GJB4,9,1
BLOC1S2,1244,1566
SYCP2,818,258
IL1RAP,1889,728
PTPRT,8,637
MYBPC1,34,542
PAX5,3194,30
OR5K4,0,1
OR6M1,0,0
SPOCK3,7,14
ZNF676,4,150
ZNF699,222,428
TDRD7,1006,1307
OR8A1,0,0
HLA-DRB1,3003,17416
VN1R2,2,0
MYT1,39,0
SERPINA3,268,14
AKR1C3,1348,6481
SPATS2L,5461,2932
ZNF250,887,539
WDSUB1,589,714
ZNF79,205,277
S100A4,6651,15299
PLEKHG4,1349,624
KRTAP4-3,0,0
FAT4,262,2868
COLCA1,70,159
KIF19,371,69
OR6K2,0,0
ZNF681,267,177
ACADSB,886,5038
STK40,5389,4924
TMEM63A,3838,3272
CTSE,11,1
SEMA4A,2487,384
HRCT1,278,593
MPHOSPH8,2088,4499
GREB1,628,1274
SIRPB2,79,224
ZNF766,1948,1291
RYR1,269,281
SRGAP3,271,441
KRTAP5-3,0,0
FAM217B,996,1384
SULT1C3,0,12
TUBB,39411,23159
LCOR,1635,1881
SUPT5H,19823,4967
XPNPEP3,1294,1340
OR2C3,0,3
ZNF107,1901,527
OR10S1,0,0
SFTA2,3,2
PPIA,31812,11335
ZNF471,906,753
OR10J3,0,0
ZNF836,561,410
ZNF493,198,684
GTF2IRD2,95,366
GRM7,0,26
SUPT3H,237,411
NIF3L1,1489,985
ATP2A1,58,22
ZBTB44,2751,4914
GIMAP5,2,169
STK31,7,13
CGB7,8,2
NLGN3,30,126
ADH7,22,1
ZKSCAN7,144,200
ZNF729,0,5
CD55,5933,4597
CPNE4,121,20
ZNF565,344,200
NTNG2,65,51
ELAVL3,1,2
WDR5,3272,1784
LONP1,6187,3748
C9orf163,16,3
TRRAP,8819,4032
NUDT11,96,106
SRGAP2B,125,170
FUT4,503,376
ASB13,2527,1338
SLC35F1,33,182
ZNF34,288,487
ZNF781,11,212
ZNF140,679,663
INCA1,134,155
ZNF774,202,148
PTPN1,3981,2085
EVL,2397,2615
THEM5,135,120
NOXO1,0,0
EPHB4,12548,3656
PRTN3,0,2
ZNF765,1073,485
ZNF124,695,162
XRCC6,21830,15963
S100A5,8,5
PPP1R26,1804,1140
TSC22D2,3631,1612
CRYBA4,1,3
ASMT,4,8
ASMT,0,0
ZNF569,512,509
ARMCX4,304,745
YRDC,1386,425
ZNF777,2091,742
PIK3R4,2294,2688
ZNF775,125,76
ZNF605,784,1088
TRAPPC2,779,645
RFX8,71,104
MYL6B,1115,836
ZNF799,176,218
FGF16,0,136
SIAH1,500,524
GK2,0,0
C20orf96,917,423
ESRRG,296,152
IPO4,10,4
NCOR2,10696,7149
ARL9,314,29
PRPF40A,8359,5276
GDAP2,1115,1031
TCEAL3,921,759
ANAPC7,1755,1512
TPK1,98,341
SLC6A9,2819,215
AFAP1,1753,618
NACA,14351,25272
MYO18A,3122,2929
OR2T3,0,0
SPTSSB,63,134
MAN2A2,2032,7134
MME,1067,25687
CACNA1H,518,440
SULF2,15199,5332
HBG2,0,0
LAMA2,474,13143
PFN3,0,0
PLXNB2,28703,9902
OR5AC2,0,0
AJAP1,39,116
XRCC2,1156,54
MYO6,11173,4088
HDAC2,7362,4051
ZNF782,93,194
SLC22A25,0,32
POTEF,8,0
ZNF846,148,449
MMP1,203,1
ADH1B,3,260667
UGT2B15,2,2
TCF4,3432,14557
WNK3,307,101
SDHAF3,984,512
HRH1,627,1466
RABL6,6042,2406
ZNF136,328,607
ZKSCAN5,1073,906
ZNF502,310,425
TRAPPC4,968,1557
TTC30B,341,417
SLC30A10,4,0
TECPR2,918,2158
TLR7,134,293
FAM180B,4,663
ZFP62,1040,1263
ERI2,329,849
TOMM7,8147,11107
HSH2D,134,55
TRPV1,263,358
ZNF33B,1429,1255
ZNF512B,3524,968
AMZ2,4301,4970
ZNF431,612,833
NF1,4253,6554
VKORC1L1,6294,23691
ZNF418,460,182
DAPK1,3142,1598
LCE1B,0,0
HLA-DQA1,370,3754
COL27A1,2484,476
GM2A,3731,5903
S100A2,398,94
ZNF700,352,395
POU3F4,0,2
OR14A16,0,1
CD47,11554,7367
OR52K1,0,0
TLE1,3297,3636
MAML3,476,777
STRN3,1244,2513
ZNF239,710,174
SPINK14,0,0
CHRNG,0,0
ZSCAN16,191,120
MVB12B,741,959
POTEI,6,1
ADA,1246,735
ARID5A,1671,830
PATE2,1,1
PPTC7,1318,2629
KRT39,2,2
TOMM20L,2,13
NHLRC2,1530,3508
ZFP28,849,701
SCN8A,110,68
LAMB3,11186,4335
TEX43,0,1
KPNA5,174,949
ANKRD36B,109,101
ARHGEF12,6862,13709
HCAR1,780,2241
FLNA,117992,63974
TMEM26,99,115
SRGAP1,1061,1261
FAM3C,4062,1564
NOP9,1963,1295
ZNF705A,0,0
SLC39A10,2137,1895
CASP4,1439,2423
AP2A1,14740,5956
ZNF585A,450,468
FUT11,1414,1341
NXF4,0,0
ANXA4,6685,5428
LAGE3,2073,319
WDR5B,476,599
FAM163B,4,3
METTL9,3942,6521
ZNF138,882,515
ZNF429,330,1105
ZNF470,945,734
SERTAD1,2079,586
ZNF100,337,570
ZNF398,2679,1173
ZSCAN25,1053,825
ANXA6,15023,37340
ZNF441,148,805
GMFB,2945,4057
SIGLEC15,102,45
ZNF420,627,571
ZNF763,24,142
ZMYM1,685,688
DTHD1,0,20
ZSCAN26,317,993
MAFG,3456,1441
ARRDC1,1444,523
KIAA1671,4441,4383
KRT35,3,0
IGF2R,12176,14042
LCE1C,7,1
GAL3ST4,609,637
DYNC1H1,24220,29966
SLC6A17,243,7
IFNL3,19,0
PCBP2,8193,8640
ZGPAT,238,73
SLC25A29,1452,909
PGAP1,627,1144
SRC,9140,1367
ZNF679,0,0
ZNF682,192,165
OR8B8,0,0
ZNF772,442,535
ZNF257,153,103
ADAM32,168,216
ACSL5,796,2037
LRRC8B,2557,1273
ABCB8,3540,1076
SND1,30784,10014
ZNF785,226,379
SULT1A2,4,9
NEK5,98,104
PSMD12,5680,3330
MAGEA6,4,8
ADGRA1,0,0
PIWIL2,11,252
NOL4L,3973,2151
CYSRT1,22,21
SLC22A4,43,58
ZSCAN5B,5,0
ENTPD4,1294,1495
C1D,740,766
TBC1D9B,8513,10996
OR1J2,1,0
SLC2A7,1,1
FAM110D,45,593
SERPINA1,2418,1895
TPSB2,80,818
KANK2,2684,15633
C6orf141,263,205
GTF2E2,1216,1985
GUCA2A,0,0
RAD54B,279,31
ZNF165,108,66
SYNGAP1,584,705
BLM,724,70
OR10D3,0,0
DDI2,1851,4367
SVIL,13797,8612
TRIM33,4349,3002
LRP10,9714,12713
PELI1,2309,1829
ZNF655,323,3148
MRPL21,1311,1113
LYPD2,0,4
UAP1L1,1080,743
ZNF98,78,31
FBXL22,45,66
ZNF786,752,233
ZNF517,517,520
S100A7L2,0,0
ZNF675,359,315
SLC22A5,704,987
DACT3,308,172
ADARB1,1957,2559
ZNF860,570,76
HTT,5026,7536
C5AR1,579,448
DIO3,0,142
CYP2B6,0,1
DCHS2,83,55
VEPH1,354,63
FABP12,0,1
SHPK,96,147
OR51D1,0,0
IPP,958,1000
OPALIN,0,0
OR13G1,0,0
MAP3K5,1952,3291
OGDHL,99,4
CYP2F1,0,1
GSTK1,8345,8081
HNRNPAB,1233,3049
OR2L5,0,1
STMN3,878,1193
PDGFA,2257,921
GYPE,8,104
COL13A1,867,31
SPN,96,260
ZNF695,444,5
PCDHB11,372,410
ZNF628,502,117
GALP,0,1
ZNF665,260,145
SLC28A3,1115,162
FAM177B,5,7
MIB2,994,801
OR6Y1,0,0
GZMM,66,24
ATG7,1181,1396
SIPA1L1,2518,1354
TTC30A,715,731
ELANE,6,73
PIGN,2368,1698
COL4A6,44,380
ZNF624,229,416
HHLA3,444,356
HOXA4,24,26
BCO2,23,76
KCNMB2,3,12
ENTPD6,4554,2062
DMBX1,89,3
ENPP1,3672,3676
ATP11AUN,3,0
CCDC154,13,10
FAR1,2524,3936
ZNF841,853,561
MFAP5,1909,20607
MYH6,0,0
VN1R5,1,0
ZNF615,698,854
CDC42SE1,12947,2951
MPEG1,214,5593
SERPINB2,52,2
DPP4,665,4525
SERPINB13,2,0
PDCD1LG2,141,601
ZNF433,133,170
CCER1,0,0
DNAH10,34,67
SLC22A24,0,0
KRTAP26-1,0,0
SPTAN1,22303,24098
NMB,1386,2512
PARVA,6424,25628
KLHL14,1,45
FAM114A1,5295,4877
ZNF460,919,89
PHF2,1941,3864
C14orf178,2,1
SCGB1D4,0,0
PSAP,101577,105214
S100A10,47168,16049
CFAP43,61,58
LHFPL5,102,21
RPL37A,29394,38439
HOXC6,265,884
TXNRD3,973,826
CFD,65,34169
MAP1LC3C,11,691
MCMBP,5233,4178
EME2,210,133
KLHDC1,52,454
ZNF81,584,610
TAF13,1577,1316
ZNF780A,763,1182
ATAD3A,2603,423
OR5B17,0,0
OR52M1,0,0
FAM118B,1653,788
ZNF461,563,322
CCDC180,13,78
SLC9A8,1207,1545
OCLN,649,198
CYP2A13,0,0
ZNF181,493,850
ZNF44,371,778
GPAA1,7442,4663
ADAMTSL2,564,402
SGTB,444,795
ZNF790,442,319
PRB3,26,2
MYO1C,19928,44675
NKIRAS1,401,1083
OR1S2,0,0
UGT2B17,0,2
MEIG1,32,5
SLC22A12,0,35
KIF13B,930,2577
NRAP,5,0
ADH5,5014,15067
SLC22A6,0,0
TEAD4,1701,301
SPG7,3321,3469
HRNR,11,18
IFNA1,0,0
HES5,6,9
ZNF677,1267,764
ZNF823,261,345
ZNF311,165,132
ZNF347,1146,1142
PLCG2,934,2023
FCHSD1,545,419
ZNF71,1269,478
AADACL2,0,13
S100A6,60280,32939
RPL12,25895,29504
DNM3,2007,589
ZNF121,1502,1010
MPZL1,16393,11216
VPS13A,1250,3225
MBP,1383,2927
AKAP17A,1952,1292
AKAP17A,0,0
ELOVL2,196,243
GOLGA6L9,122,39
LEKR1,24,23
C1orf122,2734,1223
NOL8,1612,2219
IRAK4,1005,1153
DLGAP2,1,94
ENTPD7,1408,480
ZNF335,2392,955
ZNF560,573,0
TUBA3C,0,0
RPS4X,44734,78109
ZNF273,905,253
ZNF84,1999,1952
MAK16,494,733
ZNF667,941,327
AVPR1B,0,1
SIRPA,5840,6334
GRK6,2025,926
PRIM1,120,147
MARCHF5,1984,2929
POTEH,0,0
AKR1B10,20,24
SULT1C4,78,384
CYP2A7,0,11
ZBTB14,565,1048
CD2AP,2565,3002
NUP62CL,16,15
SFI1,617,454
KRTAP4-6,0,0
TMPRSS11F,2,1
ZNF649,868,420
ADH4,4,38
OR2T6,0,0
ZNF248,941,988
CHSY3,307,169
LPAR1,464,3906
MB,1447,99
OR2L3,0,0
HIBCH,1206,3824
ZNF544,2389,682
TMEM229B,270,343
SOWAHC,1706,1265
ZNF770,1354,2181
HMGN5,229,447
MIER1,2246,3600
MAN1A2,3017,6222
SVIP,1174,814
ZNF251,1648,1038
DDRGK1,4563,1817
TFDP1,5919,3657
CLEC4C,0,2
ZNF607,631,448
BPIFA1,0,0
ZNF334,605,265
HSD17B11,364,3635
SZT2,1705,2652
SULT1C2,12,14
ZXDA,387,398
RPS6KL1,272,177
CACNA1E,4,4
QRICH1,3345,4183
CSF2RA,799,1610
CSF2RA,0,0
DDX42,12653,10190
RPL23A,17036,7637
SLC29A3,521,494
STYX,1224,2086
UBL5,4349,4113
HELZ,4709,4806
KRTAP4-5,0,0
UCKL1,1759,1102
CARD11,57,73
ZNF485,315,138
PEG3,1879,622
SDAD1,2577,2663
ZKSCAN8,1176,3122
TMEM239,0,0
HYLS1,654,237
MYL4,19,16
ZNF442,40,180
ZNF813,1034,355
HOXC4,121,227
DCAF12L2,45,57
PIM3,7029,1987
ASPH,9079,54800
SPRED2,2116,3079
WWP2,3996,3026
GFPT1,12196,11743
UVRAG,2166,3838
KRTAP13-1,0,0
ZNF26,714,606
TMEM207,1,0
ITSN2,2507,3624
NTRK1,21,12
TCAF1,1799,2262
ZNF69,278,235
TXNRD1,6897,4296
NRARP,482,499
ZNF583,321,270
CCT8L2,0,0
ZNF568,591,528
ZXDB,1403,953
ZNF480,1488,790
ZNF587,1340,629
TPM2,16163,6031
RTP2,0,0
SH3BGRL2,513,4843
ZNF808,363,395
ANKRD35,47,605
B3GNT6,1,0
YTHDF2,5356,3485
TMA16,1426,758
HLA-DRB5,771,9722
ATL1,657,546
CNGA1,149,35
MAFK,1468,597
ZNF43,819,927
GPN1,3468,1710
C2CD4A,27,13
ZNF28,2145,719
ITGBL1,1286,1066
ZNF511,416,236
C20orf203,1,2
ZNF627,704,811
KCNRG,4,9
WDHD1,1230,288
ZNF789,691,292
CTNND1,423,1003
DDX39B,2115,2683
SLC34A3,7,1
RD3,0,0
SPANXC,0,0
SH2D1B,8,51
ARC,15,62
TLK1,4720,3403
LRBA,3501,6329
ZNF536,6,9
MMP17,68,392
BAZ1A,3971,1774
AKR1C4,1,4
COPS8,2580,3294
CCDC69,177,20096
MDM4,1352,2349
RYR2,16,83
ZNF534,8,14
KLHL9,3231,3434
FAM3D,6,40
NCOA6,6938,3497
STK39,1890,3439
TAT,12,806
C6orf89,4485,10153
CALM1,11261,28442
LPA,0,4
TUSC1,568,861
MAGEA1,0,0
PAPSS2,1903,2799
SLC9A6,909,1443
FAN1,750,1972
ABCA4,121,227
EIF1AY,0,0
IPO9,7128,4524
GPX6,0,0
CEP290,511,1255
GLMP,6381,1561
DLL1,208,511
ANKRD13B,522,542
ECI2,201,1986
UNC13B,3996,4964
LDB1,3922,3460
PPP1R14C,2367,81
CTR9,2366,3905
SMOC1,981,467
F5,42,39
MSRB1,1087,1325
ZNF652,2798,2381
SMURF1,4560,2191
SLC5A3,4910,4524
GPATCH3,761,558
CDC42BPB,4522,9287
PLXNB3,1616,481
OXCT2,23,3
RPL10A,20705,26732
COLGALT2,41,275
EPS8L3,0,2
EGFL6,349,45
SYCP1,0,11
RCSD1,949,1583
RASSF9,218,718
FAM169A,23,51
ZNF830,809,707
GRIN3A,28,50
MUC2,3,0
CNOT7,2764,4823
TMEM184B,10039,4561
MTOR,3534,4793
SCAMP5,1147,445
ALPK2,121,80
BRINP2,18,97
MAGEB3,0,0
LRIG2,1213,1615
PNP,2134,706
PAX9,238,44
LRRC10,0,0
GK,170,158
FOXJ3,4329,4846
ZNF358,1750,1797
SFT2D1,1615,2214
CD247,34,123
CHAMP1,1419,1637
INPP5F,1733,1262
ARHGAP11A,1401,177
SUCNR1,22,375
HMGN2,9103,8013
UBE2J1,3786,3909
GJC2,104,146
OPA1,6132,5646
DENND4B,3528,2189
RYR3,330,413
ZNF277,942,1370
KTI12,251,138
ARHGEF15,525,3414
TOX,59,103
CES1,281,12987
CD3E,26,224
RUSC2,3252,2714
C1orf68,0,0
FICD,214,519
OSTC,4868,2605
R3HDM4,4110,1390
TSEN15,1893,1355
LTN1,2590,2591
CCDC152,18,324
STKLD1,83,63
GRK5,2250,2295
TYW1,1479,958
DCAF12,3444,2891
SFMBT2,2165,746
PNMA5,0,1
ITPRIPL1,44,350
SMC5,2145,2186
DCAF12L1,0,1
PRMT6,991,632
SHISA4,725,601
CIPC,1272,1707
CAPZA2,6229,9164
TOP1,7210,4140
PRC1,18,1
MAP3K3,2400,3260
L1CAM,2074,371
SREBF2,8904,5716
C1orf174,1251,912
POU3F3,0,4
RASGEF1A,604,127
DZIP3,614,1545
KIAA0753,770,624
DCLRE1A,711,668
ATG9A,2717,2057
NOS1AP,196,128
CSAG1,1,0
APRT,2324,2225
GPRASP1,149,1567
TBKBP1,968,858
MAGEE1,412,353
CCDC167,1219,147
ZFP2,40,208
SOWAHA,2,210
L3MBTL3,483,548
DMD,1296,9672
MFAP3L,2037,343
NAGA,2853,2181
SMG5,25519,4254
TGM2,3272,1660
ARMCX6,977,550
PJA2,3657,14162
RORB,7,804
SGMS1,2175,2728
OR10R2,0,0
INF2,11360,9144
GP1BB,0,0
OR2L2,0,1
EFCAB2,140,522
COX20,61,43
CHML,4334,767
CAPN8,0,287
CR1,19,395
RAET1G,14,34
C1orf53,93,49
SAMD5,1458,1010
TEDDM1,6,0
ECT2L,17,24
GPR52,0,1
FCGR3A,1722,1145
TMEM244,1,10
OR6K3,0,0
CENPW,7621,127
SPRN,11,0
FAM229B,252,648
FANK1,379,97
PRR9,1,0
LELP1,0,0
FAM24A,1,0
DDO,34,240
PNLIPRP3,1,24
HSD3B1,0,2
HSD3B2,0,2
RBM20,18,165
SMIM9,0,1
C6orf163,19,48
RIPPLY2,0,1
GDI1,7087,5499
PCMTD2,2633,3908
SOX18,1123,1291
LIME1,119,29
OOEP,58,10
KHDC3L,0,2
DPPA5,1,0
C1orf146,3,1
SPANXN1,0,0
CXorf66,0,0
C10orf62,0,2
SAMD13,15,28
CCDC160,80,61
C1orf141,0,0
EFCAB7,258,362
DEFB110,0,0
GLYATL3,0,0
LDLRAD1,4,5
RHOXF2B,0,0
ZYG11A,1055,19
LCN8,0,0
C1orf185,0,3
GLT6D1,0,0
IFIT1B,1,1
CT83,541,0
LIPN,1,2
LIPK,81,0
LIPJ,1,17
TRPC5OS,1,4
LRRC73,24,13
FOXO6,495,37
TCEAL5,1,77
SYS1,2201,2191
TCEAL6,0,19
RPA4,6,2
NEU4,8,4
MAFB,1501,3818
TRAF3IP1,1805,1407
GIGYF2,3322,5108
C2orf72,246,64
RUFY2,799,948
PHACTR4,2910,2033
CLPSL1,970,4
ASAH2B,313,205
TIMM23B,121,113
ZDHHC18,3492,2318
CXorf65,0,0
NPY4R,3,0
GPRIN2,908,44
SYT15,32,92
PTPN20,502,88
ZDBF2,115,1194
TXNDC8,0,2
DAXX,3054,2231
BMPR2,8334,12915
TCEA3,3299,1751
PFDN6,1513,794
RING1,1178,1525
HSD17B8,27,701
RXRB,1522,2271
OXLD1,1256,501
OR13C3,0,0
COL11A2,57,51
HLA-DOA,53,1284
BRD2,7091,9584
HLA-DMA,751,5371
COL5A2,36305,9439
PSMB8,2192,2273
TAP2,1334,1280
SPIN3,664,837
TMEM235,1,0
PAGE3,0,0
HLA-DRA,2684,23326
BTNL2,0,1
NOTCH4,1500,4129
PBX2,1587,1887
AGER,64,119
AGPAT1,1569,1946
PRRT1,47,114
FKBPL,409,249
MRPL38,120,61
SMIM5,163,16
ERICH2,138,65
STK19,482,387
CD300LD,0,0
BTBD17,0,1
DXO,450,288
NELFE,2668,2766
NXPE2,3,5
SPANXN5,0,0
ZBTB12,266,73
EHMT2,3782,1552
LAYN,565,377
XAGE1B,0,0
SLC44A4,65,242
NEU1,5202,2612
HSPA1A,6043,9890
HSPA1L,103,181
LSM2,2799,1264
VWA7,28,78
CARD16,137,331
CASP12,9,30
MBD5,1026,1428
MSH5,34,56
CSHL1,0,0
LY6G6C,18,14
LY6G6F,0,0
ABHD16A,42,28
CSNK2B,998,465
GPANK1,760,742
C6orf47,1054,725
APOM,43,117
TRIM49C,0,0
TRIM64,0,0
BAG6,16046,10010
PRRC2A,23071,11100
AIF1,226,1174
NCR3,1,17
PRAMEF20,0,0
PRAMEF17,1,0
PRAMEF19,0,0
PRAMEF14,0,0
LST1,89,203
PRAMEF15,0,0
MCCD1,1,2
ZNF814,926,429
MICB,928,153
ZNF551,719,360
MICA,1277,1162
ZNF805,907,622
HLA-C,25872,27662
POU5F1,73,29
CCHCR1,1001,714
PSORS1C2,9,2
CDSN,1,0
PSORS1C1,187,47
C6orf15,165,8
MUC21,0,0
DEFB121,0,0
DHX16,2380,1767
C6orf136,420,440
MRPS18B,2131,4190
PPP1R10,4727,2677
ABCF1,5523,3696
PRR3,367,610
LILRB3,46,100
DDR1,11069,4299
LRCOL1,4,3
GNL1,2288,3237
HLA-E,20095,57662
DPRX,0,1
TRIM39,439,610
ZNF468,1151,571
TRIM15,15,0
ZNF616,833,914
FOXB2,0,0
TRIM10,4,0
TRIM40,0,0
TRIM31,10,14
RNF39,113,156
PPP1R11,3070,2539
HLA-G,213,91
TBC1D8,2387,1478
NMS,0,0
HLA-F,1894,1581
ZFP57,2092,3
ASPDH,12,6
MOG,45,0
OR2H2,13,1
CBY3,2,1
C5orf60,1,0
C9orf57,0,0
IL31,0,0
AKT1S1,7029,2433
GABBR1,1058,1367
MAS1L,0,29
OR2H1,0,0
OR11A1,0,0
OR14J1,0,0
OR2J3,0,0
OR2B3,0,0
OR2W1,0,0
SPDYC,1,6
TRIM27,2949,2209
MALRD1,4,94
RANBP17,1021,114
FOXD4L5,0,3
MRPL53,0,0
MROH6,1511,122
ATXN2,1794,2400
DCTN1,7575,7685
SPATA31A1,0,0
FAM216A,102,181
ZBTB48,776,508
IGFL2,73,3
IGFL4,14,6
KRTAP4-8,0,0
KRTAP1-4,0,0
KRT40,7,10
KRT25,1,1
MZT1,985,773
SPINK9,0,2
LRRC3C,12,0
PRR20B,0,0
PRR20A,0,0
ZNF155,247,165
UQCC3,827,168
FBXO48,233,339
GRXCR2,1,1
FAM221B,3,4
CD177,1,61
PSG5,0,12
ZNF783,1703,502
ZNF425,333,209
LRRC10B,27,43
FBXO47,0,1
PCDHGA1,55,31
PCDHA9,6,1
PCDHA8,0,2
PCDHA7,11,14
PCDHA5,12,8
PCDHA4,16,19
PCDHA2,16,16
PCDHA1,0,0
TRIM13,936,1690
ERICH4,9,29
MS4A13,0,0
SPIRE2,491,125
AARD,3391,117
PABPN1L,1,0
OR5D16,0,0
OR5L2,0,0
PKHD1L1,12,319
SLFN12L,7,34
SLC35B4,1069,1649
SYCE1L,53,30
CCNI2,44,12
TMEM240,27,39
FRG2,0,0
FAM205A,0,3
CDKL4,5,7
ACCSL,0,2
C4orf47,186,19
TRIQK,981,1976
SDHAF1,1311,373
ARID3C,17,4
PSENEN,2967,506
C11orf91,2,3
FABP9,0,13
ZBTB10,5089,2278
C4orf46,1217,445
SCGB2B2,25,36
CCDC144NL,0,0
LGR4,633,4404
PSMB10,400,343
VIT,254,2157
E2F4,3617,2119
PDE7A,6475,996
TMEM170B,184,4489
MUC12,17,5
CTXN3,1,0
MGAT4D,0,0
SNX2,2582,6102
SAP25,0,0
NT5M,357,151
SARNP,1,2
OR6C68,0,0
ADGRG1,13593,3815
IPO7,8808,11347
TECPR1,1951,1203
SLCO6A1,0,2
MT1M,182,265
CFI,297,235
OR52E6,0,0
SAMD9,1757,1175
KRT6A,5839,48
CNEP1R1,476,839
KRT81,37451,65
EXOC3L4,21,16
KRTAP12-3,0,0
IZUMO3,0,0
KRTAP10-2,1,0
ATP6AP1L,131,342
CCDC85C,1551,357
C2CD4B,15,53
RGL3,118,197
NAP1L4,5857,5560
TMSB4X,83039,68980
TMEM256,708,449
SMN2,19,165
HMGN1,10069,3506
EIF3CL,24,31
LCMT1,1169,1197
MFSD2B,40,8
VCX3B,0,1
CDPF1,285,346
HTN3,12,0
LIN52,447,1062
ARSH,72,5
ACOT6,0,2
TECRL,0,0
DPF3,10,86
MANSC4,5,4
C17orf107,15,21
ITSN1,2080,16684
ITPRIPL2,2124,4104
DENND1C,525,139
SLCO1B7,0,0
CRLF2,0,8
CRLF2,0,0
CRYZL1,819,1608
GAGE1,0,0
ARRDC5,28,3
DPP9-AS1,7,3
CYS1,356,725
KLRC2,0,1
KLRC3,0,0
C16orf96,3,5
GMNC,1,5
TTC23L,23,22
CLEC6A,3,1
C22orf42,1,1
NANOGNB,2,0
LRRC72,0,0
C1QTNF9B,0,2
KRTAP5-6,1,0
KRTAP5-1,31,0
DEFB134,0,0
DEFB135,0,0
DEFB136,0,0
BHLHA9,0,2
ZNF316,2784,1042
DAZ4,0,0
ONECUT3,3,1
CEMP1,0,0
OLIG2,46,0
C21orf62,4,36
RNPS1,8140,3927
DAZ2,0,1
NYNRIN,6407,3146
DNAJC19,1119,1434
IFITM5,0,0
SMIM21,0,2
C18orf63,0,4
DEFA1,0,0
DOK6,240,227
SERPINB11,0,0
SERPINB4,0,0
SERPINB5,3704,1012
ZDHHC11B,111,180
KRTAP19-8,0,0
KRTAP20-3,0,0
KRTAP22-2,0,0
KRTAP27-1,0,0
CFAP99,7,2
RNASE13,1,1
HBA1,2,14
HBM,0,0
ATP10A,1396,1148
TSSK2,0,0
PRR23A,0,1
FOXL2NB,3,2
COL6A6,8,5328
RAB12,1861,2415
LRRC30,0,0
TMEM200C,1229,65
OR10C1,0,0
HLA-A,34008,24389
HACD2,10003,16908
CFAP44,760,329
CD200R1L,0,0
LNP1,146,225
OR5K3,0,0
VGLL3,1404,5047
TRIM71,5,1
ZCWPW2,20,96
ANKRD28,2189,3047
COLQ,29,54
METTL6,582,778
XKR4,0,42
GPX3,438,88343
DIO2,152,289
DIO1,10,12
STK38L,6053,2835
SACM1L,1539,4049
TSN,5851,5234
SLC48A1,1726,3291
IGLC7,2,124
TSSK1B,0,0
PRR22,52,16
TAS2R19,7,5
TAS2R50,1,4
TAS2R14,25,42
TAS2R13,0,0
KRTAP16-1,0,0
KRTAP29-1,1,2
KRTAP9-6,0,0
CTAGE1,0,2
KRTAP4-11,0,0
KRTAP2-1,0,0
RNF208,151,215
KRTAP3-3,0,0
KRTAP3-1,68,1
MAP10,291,169
KRTAP10-3,1,0
KRTAP6-3,0,0
POU5F1B,14,9
ZNF611,797,533
KLK9,0,0
SYT3,174,3
NUP62,8699,1764
SFT2D2,7989,4135
SCAF8,1540,2330
CFAP45,100,24
ACKR1,2,6903
ZNF254,412,633
CRIP1,20,29
KLHL23,918,666
LINGO4,6,8
FAM24B,137,36
TRIM59,1022,87
MLLT11,564,65
ASIC3,137,41
GIMAP1,59,1227
CCDC183,28,18
ARHGEF35,1,71
CSH2,0,0
DNLZ,8,4
TCL1B,0,0
SUPT4H1,0,0
TSGA13,0,0
NRAS,5132,2539
ANKRD39,216,141
QTRT1,902,879
CHUK,1127,1731
MXD3,387,72
GSTM2,29,888
COG8,303,421
ARHGAP19,967,881
HAUS7,17,15
LCAT,203,451
MAGEA12,0,2
PTPRCAP,0,0
PVRIG,3,3
KRTAP4-12,0,0
KRTAP2-4,0,0
GPC2,390,11
